#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	Matric	Priori	Special
261 59 65 133 34 4 9 1 1 23 60 65 1 1 
266 61 67 180 31 2 10 17 1 240 10 10 1 1 
267 61 67 180 31 2 11 17 1 240 10 10 1 1 
268 61 67 180 31 2 12 17 1 235 10 10 1 1 
269 61 67 180 31 6 4 17 1 241 10 10 1 1 
270 61 67 180 31 6 5 17 1 239 10 10 1 1 
271 61 67 180 31 6 6 17 1 235 10 10 1 1 
276 63 69 179 18 3 14 4 1 113 30 20 1 1 
277 63 69 179 18 3 15 4 1 113 30 20 1 1 
278 63 69 179 18 3 16 4 1 113 30 20 1 1 
279 63 69 179 18 3 17 4 1 113 30 20 1 1 
282 17 71 178 18 3 2 4 1 120 60 53 1 1 
283 17 71 178 18 3 3 4 1 120 60 53 1 1 
284 17 71 178 18 3 4 4 1 120 60 53 1 1 
285 17 71 178 18 3 5 4 1 120 60 53 1 1 
286 65 72 167 29 5 2 5 1 141 15 14 1 1 
287 65 72 167 29 5 1 5 1 60 15 14 1 1 
288 66 73 48 35 6 12 18 1 264 50 33 3 1 
289 66 73 48 35 6 13 18 1 264 50 33 3 1 
290 67 74 91 43 6 14 2 1 48 25 38 1 1 
291 67 74 91 43 6 15 2 1 48 25 38 1 1 
292 67 74 91 43 6 16 2 1 48 25 38 1 1 
293 67 74 91 43 6 17 2 1 48 25 38 1 1 
294 68 75 88 31 2 2 17 1 238 6 5 1 1 
295 68 75 88 31 2 3 17 1 238 6 5 1 1 
296 68 75 88 31 2 4 17 1 238 6 5 1 1 
297 68 75 88 31 2 5 17 1 238 6 5 1 1 
298 68 75 88 31 2 8 17 1 241 6 5 1 1 
299 68 75 88 31 2 9 17 1 247 6 5 1 1 
300 68 75 88 31 2 10 17 1 247 6 5 1 1 
301 68 75 88 31 2 1 17 1 252 6 5 1 1 
302 68 75 88 31 3 2 17 1 241 6 5 1 1 
303 68 75 88 31 3 3 17 1 244 6 5 1 1 
304 68 75 88 31 3 4 17 1 243 6 5 1 1 
305 68 75 88 31 3 5 17 1 244 6 5 1 1 
306 68 75 88 31 3 1 17 1 262 6 5 1 1 
307 68 75 88 31 4 2 17 1 250 6 5 1 1 
308 68 75 88 31 4 3 17 1 251 6 5 1 1 
309 68 75 88 31 4 4 17 1 251 6 5 1 1 
310 68 75 88 31 4 5 17 1 249 6 5 1 1 
311 68 75 88 31 4 1 17 1 241 6 5 1 1 
312 69 76 79 40 4 14 2 1 44 60 36 1 1 
313 69 76 79 40 4 15 2 1 44 60 36 1 1 
314 69 76 79 40 4 16 2 1 43 60 36 1 1 
315 69 76 79 40 4 17 2 1 43 60 36 1 1 
316 70 77 158 32 2 8 1 1 8 40 26 1 1 
317 70 77 158 32 2 9 1 1 8 40 26 1 1 
318 70 77 158 32 2 10 1 1 10 40 26 1 1 
319 70 77 158 32 2 11 1 1 9 40 26 1 1 
320 71 78 81 33 2 8 4 1 114 15 24 2 1 
321 71 78 81 33 2 9 4 1 114 15 24 2 1 
322 71 78 81 33 2 10 4 1 114 15 24 2 1 
323 71 78 81 33 2 11 4 1 114 15 24 2 1 
324 72 79 180 31 2 7 17 1 262 9 9 1 1 
325 72 79 180 31 2 7 17 1 235 9 9 1 1 
326 72 79 180 31 2 9 17 1 238 9 9 1 1 
327 72 79 180 31 6 1 17 1 262 9 9 1 1 
328 72 79 180 31 6 2 17 1 240 9 9 1 1 
329 72 79 180 31 6 3 17 1 240 9 9 1 1 
330 73 80 182 18 5 14 4 1 120 55 38 1 1 
331 73 80 182 18 5 15 4 1 120 55 38 1 1 
332 73 80 182 18 5 16 4 1 120 55 38 1 1 
333 73 80 182 18 5 17 4 1 120 55 38 1 1 
334 74 81 74 40 4 14 15 2 -1 40 31 1 1 
335 74 81 74 40 4 15 15 2 -1 40 31 1 1 
336 74 81 74 40 4 16 15 2 -1 40 31 1 1 
337 74 81 74 40 4 17 15 2 -1 40 31 1 1 
338 74 81 74 40 6 14 15 2 -1 40 31 1 1 
339 74 81 74 40 6 15 15 2 -1 40 31 1 1 
340 74 81 74 40 6 16 15 2 -1 40 31 1 1 
341 74 81 74 40 6 17 15 2 -1 40 31 1 1 
342 75 82 4 27 3 8 4 1 111 50 38 2 1 
343 75 82 4 27 3 9 4 1 111 50 38 2 1 
344 75 82 4 27 3 10 4 1 111 50 38 2 1 
345 75 82 4 27 3 11 4 1 111 50 38 2 1 
350 77 84 58 18 4 2 4 1 -1 40 29 1 1 
351 77 84 58 18 4 3 4 1 -1 40 29 1 1 
352 77 84 58 18 4 4 4 1 -1 40 29 1 1 
353 77 84 58 18 4 5 4 1 -1 40 29 1 1 
354 28 85 88 31 4 2 17 1 248 7 4 1 1 
355 28 85 88 31 4 3 17 1 249 7 4 1 1 
356 28 85 88 31 4 4 17 1 249 7 4 1 1 
357 28 85 88 31 4 5 17 1 247 7 4 1 1 
358 28 85 88 31 4 1 17 1 240 7 4 1 1 
359 28 85 88 31 6 8 17 1 243 7 4 1 1 
360 28 85 88 31 6 9 17 1 247 7 4 1 1 
361 28 85 88 31 6 10 17 1 245 7 4 1 1 
362 28 85 88 31 6 11 17 1 244 7 4 1 1 
367 79 87 155 34 2 16 1 1 1 45 18 1 1 
368 79 87 155 34 2 17 1 1 1 45 18 1 1 
369 79 87 155 34 4 16 1 1 1 45 18 1 1 
370 79 87 155 34 4 17 1 1 1 45 18 1 1 
371 80 88 103 42 5 2 5 1 95 34 22 1 1 
372 80 88 103 42 5 3 5 1 91 34 22 1 1 
373 80 88 103 42 5 4 5 1 91 34 22 1 1 
374 80 88 103 42 5 5 5 1 91 34 22 1 1 
375 81 89 77 38 2 16 4 2 -1 20 18 2 1 
376 81 89 77 38 2 17 4 2 -1 20 18 2 1 
377 81 89 77 38 4 16 4 1 114 20 18 2 1 
378 81 89 77 38 4 17 4 1 114 20 18 2 1 
379 81 89 77 38 6 14 4 1 114 20 18 2 1 
380 81 89 77 38 6 15 4 1 114 20 18 2 1 
381 82 90 93 32 4 4 1 2 34 25 22 1 1 
382 82 90 93 32 4 5 1 2 34 25 22 1 1 
383 83 91 60 40 2 8 2 2 33 45 38 1 1 
384 83 91 60 40 2 9 2 2 33 45 38 1 1 
385 83 91 60 40 2 10 2 2 128 45 38 1 1 
386 83 91 60 40 2 11 2 2 128 45 38 1 1 
387 83 91 60 40 5 8 2 2 128 45 38 1 1 
388 83 91 60 40 5 9 2 2 128 45 38 1 1 
389 83 91 60 40 5 10 2 2 -1 45 38 1 1 
390 83 91 60 40 5 11 2 2 -1 45 38 1 1 
391 80 92 103 42 4 4 5 1 91 30 25 1 1 
392 80 92 103 42 4 5 5 1 91 30 25 1 1 
393 80 92 103 42 4 8 5 1 91 30 25 1 1 
394 80 92 103 42 4 9 5 1 91 30 25 1 1 
395 84 93 156 32 2 4 5 1 63 61 75 1 1 
