#ID	Group	Course	Vacanc	Matric	Priori	Special	Name
1568	212	12	40	10	1	1	Demografia Econômica
1570	184	13	27	40	2	1	Tópicos Em Matemática
1571	423	170	55	42	1	1	Química Geral B
1572	259	12	30	28	1	1	Finanças I
1574	480	91	50	85	1	1	Cálculo 2b
1575	51	110	35	44	1	1	Mercadologia
1576	359	53	20	17	1	1	Farmácia Clínica
1577	328	60	50	16	1	1	Empreendedorismo
1578	481	7	7	6	1	1	Farmacologia
1579	482	120	40	6	1	1	Estágio Supervisionado Iii
1580	144	152	65	55	1	1	Filosofia Antiga I
1583	246	168	60	50	1	1	Química Geral B
1584	150	95	50	48	1	1	Representação Descritiva I
1585	10	142	15	8	1	1	Ciências Da Natureza - Química I
1586	199	104	30		1	1	Bioensaio
1588	355	87	28	13	1	1	Engenharia Bioquímica
1589	82	93	55	40	1	1	Metodologia Científica E Filosofia Da Ciência
1590	202	19	15	11	1	1	Prática De Ensino Orientada
1592	21	13	60	57	1	1	Fundamentos De Matemática
1594	42	19	60	37	1	1	Geometria Plana
1596	253	167	60	59	1	1	Determinantes Biológicos No Processo Saúde - Doença I
1597	156	40	50	41	1	1	Finanças De Longo Prazo
1598	130	7	61	65	1	1	Imunologia
1599	267	166	40	33	1	1	Morfologia E Taxonomia Vegetal
1600	485	156	40	32	2	1	Radiobiologia
1601	206	41	48	37	1	1	Contabilidade Intermediária 1
1603	133	5	30	30	1	1	Teoria Da Imagem
1604	29	157	40	38	1	1	Paleobiologia
1606	486	120	40	20	1	1	Mét. E Téc. De Pesq Social I - Metodologia Teórica
1607	210	157	40	33	1	1	Biologia Parasitária
1608	430	60	40	34	1	1	Programação Orientada A Objetos
1609	109	41	48	44	2	1	Tópicos Em Contabilidade I
1610	487	69	50	30	2	1	Gestão De Projetos
1614	141	161	41	41	1	1	Sociologia
1615	144	152	50	28	2	1	Tópicos De Filosofia Política
1616	109	41	40	43	1	1	Prática E Estágio Contábil I
1617	488	18	40	53	2	1	Tópicos Em Geografia Humana
1618	489	120	40	17	1	1	Sociologia Iii
1619	68	88	6	3	1	1	Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii
1622	282	179	48	69	2	1	Sociologia Da Violência E Do Conflito
1623	84	156	60	70	1	1	Parasitologia Básica
1624	132	157	20	24	2	1	Tópicos Em Biologia I
1625	206	41	48	29	1	1	Contabilidade Governamental Ii
1628	111	79	47	54	1	1	Banco De Dados
1629	98	161	40	28	1	1	Planejamento De Unidades De Alimentação E Nutrição
1630	84	156	30	35	1	1	Biologia Molecular
1631	367	166	40	72	1	1	Fisiologia Do Metabolismo Vegetal
1632	145	133	45	46	1	1	Administração
1633	199	104	20	27	3	1	Soberania Alimentar
1634	384	156	30	3	3	1	Metodologia Qualitativa Em Saúde - Procedimentos Do Trabalho De Campo
1635	263	77	25	18	1	1	Estatística I
1636	30	155	20	9	1	1	Estágio I
1637	144	152	55	45	1	1	Filosofia Da Linguagem
1640	198	13	50	38	1	1	Geometria Analítica
1642	432	77	25	20	1	1	Introdução A Computação
1643	171	179	45	40	1	1	Ciência Política 3
1644	156	40	50	24	2	1	Inovação E Marketing De Novos Produtos
1645	288	81	31	44	1	1	Introdução À Climatologia
1647	115	77	25	42	1	1	Estatística Computacional I
1648	73	182	55	39	1	1	Antropologia 1
1649	241	80	45	65	1	1	Microbiologia Zootécnica
1650	4	69	50	62	1	1	Controle Estatístico De Processo
1651	253	167	60	59	1	1	Saúde, Família E Comunidade Iii
1652	490	18	22	23	2	1	Climatologia Ii
1653	42	19	60	34	1	1	Cálculo Diferencial
1654	65	167	15	14	1	1	Saúde Da Criança, Adolescente E Saúde Coletiva Infantil
1655	183	18	25	26	1	1	Estágio Supervisionado Em Geografia I
1656	332	105	40	29	1	1	Teorias Do Objeto E Estudos De Cultura Material
1659	132	157	10	8	2	1	Tópicos Em Genética
1660	206	41	48	42	1	1	Organização, Sistemas E Métodos
1661	189	161	40	37	1	1	Farmacologia Aplicada À Nutrição
1662	491	26	60	49	1	1	Monografia Jurídica I (Projeto)
1663	156	40	50	30	1	1	Negócios Internacionais
1665	77	58	40	37	1	1	Ciência Política 1
1666	164	120	40	23	1	1	Ciência Política Iii
1667	156	40	50	34	1	1	Marketing Ii
1668	359	53	55	56	1	1	Química Orgânica
1669	226	133	45	10	1	1	Desenvolvimento De Projeto
